Wall time,Step,Value
1615985688.205675,0,0.03505827859044075
1615992127.704411,1,0.016437558457255363
1615998510.626751,2,0.012819107621908188
1616004893.27162,3,0.010494329035282135
1616011275.847884,4,0.009222316555678844
1616017658.428369,5,0.008342684246599674
1616024040.982294,6,0.007863041013479233
1616030423.859872,7,0.006923188921064138
1616036806.424427,8,0.006490915548056364
1616043189.93522,9,0.006148525048047304
1616049572.156995,10,0.005832911469042301
1616055954.342975,11,0.005252735689282417
1616062335.900208,12,0.005029249005019665
1616068717.434,13,0.004794399719685316
1616075098.185139,14,0.004755296744406223
1616081477.662944,15,0.004479009658098221
1616087858.600945,16,0.004251467064023018
1616094240.10815,17,0.004354485310614109
1616100621.794998,18,0.0039313780143857
1616107002.711382,19,0.003930873703211546
1616113383.371464,20,0.0036508142948150635
1616119764.658716,21,0.003386267926543951
1616126145.723884,22,0.003453534562140703
1616132526.748593,23,0.003369307378306985
1616138907.603905,24,0.0032001675572246313
1616145288.501602,25,0.0030761572998017073
1616151668.703985,26,0.0031876687426120043
1616158049.308601,27,0.002573636593297124
1616164427.892426,28,0.0023152530193328857
1616170808.377379,29,0.0022266313899308443
1616177188.78846,30,0.002137179486453533
1616183570.00644,31,0.002050005830824375
1616189951.406644,32,0.002007461851462722
1616196332.53683,33,0.0019502387149259448
1616202713.981116,34,0.001725033507682383
1616209095.660845,35,0.0016573760658502579
1616215477.702298,36,0.0016063424991443753
1616221859.439493,37,0.001565309357829392
1616228241.048661,38,0.0015258319908753037
1616234622.987797,39,0.0014955298975110054
1616241004.954518,40,0.001458419137634337
1616247386.931141,41,0.0013705732999369502
1616253768.645929,42,0.0013411634135991335
1616260150.3108,43,0.001324078650213778
1616266531.875473,44,0.001302539138123393
1616272913.57086,45,0.0012800336116924882
1616279295.545557,46,0.0012675460893660784
1616285677.270331,47,0.001248686807230115
1616292059.08159,48,0.001214032294228673
1616298441.354295,49,0.0012007313780486584
1616304822.943256,50,0.0011903966078534722
1616311205.069686,51,0.0011803354136645794
1616317587.293915,52,0.0011713786516338587
1616323974.8203,53,0.0011626352788880467
1616330363.263798,54,0.0011541108833625913
1616336751.384341,55,0.0011369747808203101
1616343139.331501,56,0.0011320519261062145
1616349527.641072,57,0.001124812290072441
1616355915.666969,58,0.0011207418283447623
1616362303.581643,59,0.001115364022552967
1616368691.489781,60,0.0011147460900247097
1616375079.305779,61,0.0011081118136644363
1616381466.800546,62,0.0011026909342035651
1616387854.214195,63,0.0010996815981343389
1616394241.230708,64,0.0010966593399643898
